frequency_GHz,TE_reflection_real,TE_reflection_imag,TE_reflection_dB,TM_reflection_real,TM_reflection_imag,TM_reflection_dB
10.408000,0.031246652,-0.10502184,-19.206038,0.029349445,-0.10849295,-18.985241
10.412000,0.030385021,-0.10572642,-19.171671,0.028453944,-0.1091957,-18.950581
10.416000,0.029514225,-0.10642668,-19.137211,0.027549172,-0.10989386,-18.915833
10.420000,0.028634251,-0.10712255,-19.102658,0.026635118,-0.11058733,-18.880997
10.424000,0.027745085,-0.10781394,-19.068013,0.025711769,-0.11127604,-18.846074
10.428000,0.026846716,-0.10850076,-19.033276,0.024779115,-0.1119599,-18.811065
10.432000,0.025939132,-0.10918295,-18.998448,0.023837147,-0.11263882,-18.775969
10.436000,0.025022321,-0.1098604,-18.963528,0.022885854,-0.11331272,-18.740787
10.440000,0.024096275,-0.11053303,-18.928517,0.021925227,-0.11398149,-18.705519
10.444000,0.023160981,-0.11120076,-18.893416,0.020955258,-0.11464507,-18.670166
10.448000,0.022216432,-0.11186349,-18.858225,0.01997594,-0.11530334,-18.634729
10.452000,0.021262618,-0.11252114,-18.822944,0.018987265,-0.11595622,-18.599207
10.456000,0.020299531,-0.11317361,-18.787575,0.017989227,-0.11660362,-18.563602
10.460000,0.019327163,-0.11382082,-18.752116,0.016981819,-0.11724545,-18.527914
10.464000,0.018345508,-0.11446267,-18.71657,0.015965039,-0.11788159,-18.492143
10.468000,0.01735456,-0.11509906,-18.680935,0.01493888,-0.11851197,-18.456291
10.472000,0.016354314,-0.11572991,-18.645214,0.01390334,-0.11913648,-18.420357
10.476000,0.015344764,-0.11635512,-18.609407,0.012858416,-0.11975501,-18.384343
10.480000,0.014325907,-0.11697458,-18.573514,0.011804106,-0.12036749,-18.348249
10.484000,0.01329774,-0.1175882,-18.537536,0.010740411,-0.12097379,-18.312076
10.488000,0.012260261,-0.11819589,-18.501474,0.009667329,-0.12157382,-18.275824
10.492000,0.011213469,-0.11879754,-18.465328,0.008584862,-0.12216748,-18.239495
10.496000,0.010157362,-0.11939304,-18.4291,0.0074930118,-0.12275465,-18.203089
10.500000,0.0090919424,-0.11998231,-18.392789,0.0063917813,-0.12333525,-18.166607
10.504000,0.0080172108,-0.12056523,-18.356397,0.0052811746,-0.12390916,-18.13005
10.508000,0.0069331697,-0.1211417,-18.319924,0.0041611967,-0.12447626,-18.093418
10.512000,0.0058398227,-0.12171162,-18.283372,0.0030318537,-0.12503646,-18.056714
10.516000,0.0047371741,-0.12227488,-18.246742,0.0018931528,-0.12558965,-18.019936
10.520000,0.0036252297,-0.12283136,-18.210033,0.0007451023,-0.12613571,-17.983087
10.524000,0.0025039959,-0.12338097,-18.173248,-0.00041228823,-0.12667453,-17.946168
10.528000,0.0013734807,-0.12392359,-18.136387,-0.0015790081,-0.12720601,-17.909178
10.532000,0.00023369284,-0.12445912,-18.09945,-0.0027550454,-0.12773002,-17.872121
10.536000,-0.00091535751,-0.12498743,-18.06244,-0.0039403868,-0.12824645,-17.834995
10.540000,-0.002073659,-0.12550843,-18.025357,-0.005135018,-0.12875518,-17.797803
10.544000,-0.0032411991,-0.12602198,-17.988202,-0.0063389231,-0.12925611,-17.760546
10.548000,-0.004417964,-0.12652799,-17.950976,-0.007552085,-0.1297491,-17.723224
10.552000,-0.0056039385,-0.12702633,-17.913681,-0.008774485,-0.13023405,-17.685839
10.556000,-0.0067991062,-0.12751689,-17.876317,-0.010006103,-0.13071083,-17.648393
10.560000,-0.0080034491,-0.12799954,-17.838885,-0.011246918,-0.13117932,-17.610885
10.564000,-0.0092169479,-0.12847418,-17.801388,-0.012496907,-0.13163941,-17.573317
10.568000,-0.010439582,-0.12894068,-17.763825,-0.013756045,-0.13209096,-17.535691
10.572000,-0.011671329,-0.12939891,-17.726199,-0.015024307,-0.13253385,-17.498008
10.576000,-0.012912166,-0.12984877,-17.68851,-0.016301664,-0.13296797,-17.460269
10.580000,-0.014162067,-0.13029012,-17.650759,-0.017588088,-0.13339317,-17.422475
10.584000,-0.015421005,-0.13072285,-17.612949,-0.018883548,-0.13380935,-17.384628
10.588000,-0.016688952,-0.13114682,-17.57508,-0.020188011,-0.13421637,-17.346729
10.592000,-0.017965878,-0.13156192,-17.537154,-0.021501443,-0.1346141,-17.308779
10.596000,-0.019251752,-0.13196801,-17.499172,-0.022823808,-0.13500241,-17.27078
10.600000,-0.020546539,-0.13236497,-17.461135,-0.024155067,-0.13538117,-17.232733
10.604000,-0.021850205,-0.13275268,-17.423045,-0.025495182,-0.13575026,-17.19464
10.608000,-0.023162712,-0.133131,-17.384903,-0.026844111,-0.13610955,-17.156502
10.612000,-0.024484023,-0.1334998,-17.346711,-0.02820181,-0.13645889,-17.11832
